place_id,place_name,review_id,review_link,name,reviewer_id,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,experience_details,review_photos
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChdDSUhNMG9nS0VJQ0FnSUQ2a09DNGdnRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2a09DNGdnRRAB!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgID6kOC4ggE%7CCgwI1veBpwYQqJvYlgM%7C?hl=id,KEONG PUTRA KARANG,111359002941661778714,https://www.google.com/maps/contrib/111359002941661778714?hl=id,5,Tempat  bagus untuk cari ikan baik ngobor atau ngejaring karena inilah kampung ku kampung keong alias ko'ol,Diedit 2 tahun lalu,2021-09-18T05:22:20,,,,11,16,1,,,[],"[{""id"":""CIHM0ogKEICAgIDp0p_-tgE"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90D56QSgWeDJn3HWnBNKvJPC160lIMfwwGnd8uPLWxjceI09w_Z60Y7vTid9V5Q_E5jmkSmPFJsrdpAYREz74s6ckGeec9kUorDuZP5tQsGk3f4GoE4D31x1AC55YjkPKV_FGLHl1g=s1024"",""caption"":null,""width"":400,""height"":720},{""id"":""CIHM0ogKEICAgIDp0p_-dg"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90AxJsWJCXp_6rLFSuq6bZgQRbxlkHYKIGBCLFE3Av2nMXbZv5_5kplL6UW67lg15ivzf4th_u8nFzKR9coYy-Q25jv4f33u8CFKmzLHt8rbj0yz7haw8lfPkglNqfomMG6mVAx2=s1024"",""caption"":null,""width"":400,""height"":720},{""id"":""CIHM0ogKEICAgIDp0p_-9gE"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90CEka3qztsiSiiTEJjPh1_tHUeRMDKPPmCsXulT0F4y9gLsIAMzwpx9aDVg3VNbNOCG8Hlt5JAQl9QsxfbJ0zEwyTtbMLfcjl0pOkCsDF1M5HqXyIuNNJx7htJkj9QBJA97ztT24w=s1024"",""caption"":null,""width"":400,""height"":720}]"
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,Ci9DQUlRQUNvZENodHljRjlvT2paRWVubEVTSE5aTFZaVVlrOXFXbWxLT0dOSlFsRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paRWVubEVTSE5aTFZaVVlrOXFXbWxLT0dOSlFsRRAB!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CAIQACodChtycF9oOjZEenlESHNZLVZUYk9qWmlKOGNJQlE%7C0ctqX4JYDvt%7C?hl=id,abdul kholik,107620629851447557931,https://www.google.com/maps/contrib/107620629851447557931?hl=id,5,Sperti apa ya sekarang akses masuknya?,seminggu lalu,2025-10-09T07:47:17,,,,88,56,1,,,[],[]
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChZDSUhNMG9nS0VJQ0FnSUNlejZ2NFN3EAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNlejZ2NFN3EAE!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgICez6v4Sw%7CCgsI7_XKmQYQiMGaLA%7C?hl=id,Dora The explorer (ingin menjelajahi dunia),113438849045159051795,https://www.google.com/maps/contrib/113438849045159051795?hl=id,5,tempat wisata gratis ,3 tahun lalu,2022-09-27T08:57:19,,,,76,226,1,,,[],"[{""id"":""CIHM0ogKEICAgICez6v4qwE"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90B4Ns0KS-cgrqzNAYpopxCmXqn802lBJzvSHtXuiiclFZKMqxxZNqE88wWnjDTuxDVcPtwtkCfaPUcAJuo8NmSt_7nz9QLBk-yvX4nsgW1Olr4w4IXWUbEDafgkKu2Dvxrv8Tscgw=s1024"",""caption"":null,""width"":3000,""height"":4000},{""id"":""CIHM0ogKEICAgICez6v4aw"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90CLX_m5wWA_dKCIIZgu7WNeKGFD9hTEGnfp1VXIjsEUfVpaLLeyPL6c58JFUMczETG7R_KZvJ35VykBAz0p6appI0ID0RATX7LC7Q2DVa_zS_llCFVwKAlz47yUcdg9ULOJis9Q=s1024"",""caption"":null,""width"":3000,""height"":4000},{""id"":""CIHM0ogKEICAgICez6v46wE"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90CASaW46dEBdYgukkhyG81iO5Hyok6YeO6ggjkTnG5381Ihf3WZi8Qt2xRQ3M2vIdpptXnZDkSkDXPZ31HrdGGIBB2ZnMzYVDT6uD4BR3WsZ3gFxeKcj28MwC4sxR80EqBmo3480w=s1024"",""caption"":null,""width"":3000,""height"":4000},{""id"":""CIHM0ogKEICAgICez6v4Gw"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90CNrq1wShsY8Yz2cTVHYXtjVJ4-q-CZT-ut_lcRvNyOxnn_TuQH6kwMPvUJVFpPL9xdiOTliwLtQZJVJdi0z5HgXUx7h0iZZGPIso_o7EoN5mtH-L3S56rWoA3jDy52V1wWkHR2=s1024"",""caption"":null,""width"":3000,""height"":4000},{""id"":""CIHM0ogKEICAgICez6v4mwE"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90BcitST5kmiBafDqzrDY4-rebhTNL69smD95ncCmxx9lbQ7QAaqCWdq_7H5ZbHdA8iwHp6AvyZIZohxutBxq0j6K_kKkESec4RM54B0xYCM08RwgPDJg359UHP740VWELFzpDF6fA=s1024"",""caption"":null,""width"":3000,""height"":4000}]"
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChZDSUhNMG9nS0VJQ0FnSUNCN01mWkhBEAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCN01mWkhBEAE!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgICB7MfZHA%7CCgwI7oSCnQYQsIHF7wE%7C?hl=id,Emil Jarkovic,103530390808733518984,https://www.google.com/maps/contrib/103530390808733518984?hl=id,4,"Pasir pantai putih yg bagus,gk kalah ama yg laenya klw di buat wisata,

Minus tempat agk jauh dri jln raya,cuman bisa buat motor mnju pantainya itupun klw tdk hujan",2 tahun lalu,2022-12-19T15:16:54,,,,26,49,1,,,[],[]
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChdDSUhNMG9nS0VJQ0FnSURSdnVyVzNnRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSdnVyVzNnRRAB!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgIDRvurW3gE%7CCgwInsajogYQwMSSmgM%7C?hl=id,Muhammad Rosin,114064766086579499263,https://www.google.com/maps/contrib/114064766086579499263?hl=id,1,Untuk Akses Nyampek Kepantainya Bisa Di Lewatin Mobil Gak Kak???,2 tahun lalu,2023-04-26T08:38:54,,,,2,0,,,,[],[]
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChdDSUhNMG9nS0VJQ0FnSUMxNGFtV3NnRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxNGFtV3NnRRAB!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgIC14amWsgE%7CCgwI7YLErAYQ4KbrlwE%7C?hl=id,Moh Ainul Yakin,107159143887900698122,https://www.google.com/maps/contrib/107159143887900698122?hl=id,5,Pantai yg indah dengan sunsetnya,setahun lalu,2023-12-31T05:51:41,,,,1,3,,,,[],[]
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChZDSUhNMG9nS0VJQ0FnSURnd1BEX0dREAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURnd1BEX0dREAE!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgIDgwPD_GQ%7CCgwIx5TkygUQgLnvogI%7C?hl=id,BANYOE ATIKA MANDIRI,117908858560446006484,https://www.google.com/maps/contrib/117908858560446006484?hl=id,4,Tempat rekreasi pantai di masa depan,8 tahun lalu,2017-07-02T14:56:30,,,,9,74,1,,,[],[]
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,ChZDSUhNMG9nS0VJQ0FnSUMweFBPR05REAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMweFBPR05REAE!2m1!1s0x0:0x46590709e6d776a1!3m1!1s2@1:CIHM0ogKEICAgIC0xPOGNQ%7CCgwI-oz36wUQqNS8mQM%7C?hl=id,Ryand Arifriantoni,107815687941258514601,https://www.google.com/maps/contrib/107815687941258514601?hl=id,5,Sangat alami tapi kurang bersih,6 tahun lalu,2019-09-15T05:04:58,,,,22,119,1,,,[],[]
ChIJF_T0zSUD2C0RJFytakQa2VM,Pantai Rindu,Ci9DQUlRQUNvZENodHljRjlvT2poalFXeE1UVFJGWTFaNlNsWTBZbll3ZEhCZk5WRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poalFXeE1UVFJGWTFaNlNsWTBZbll3ZEhCZk5WRRAB!2m1!1s0x0:0x53d91a446aad5c24!3m1!1s2@1:CAIQACodChtycF9oOjhjQWxMTTRFY1Z6SlY0YnYwdHBfNVE%7C0cbR8y1WAL5%7C?hl=id,Rofiatul Windariana,113071434754396430032,https://www.google.com/maps/contrib/113071434754396430032?hl=id,5,"Spotnya bagus, apalagi kalau sore. Bisa dapet view subset dan Suramadu. Epic bgt pemandangannya. Ada musholla dan kamar mandi juga. Soal menu mulai dari 20ribuan.

Tersedia juga beberapa spot foto yang bisa dipake buat prewedding dll cuman  ada karcisnya per kepala kalau ngga salah 25k. Overall bagus",2 bulan lalu,2025-08-14T11:03:26,,,,7,16,1,,,"[{""name"":""Waktu kunjungan"",""value"":""Hari biasa""},{""name"":""Waktu antrean"",""value"":""Tanpa mengantre""},{""name"":""Sebaiknya buat reservasi"",""value"":""Tidak""}]","[{""id"":""CIABIhAb6iNvUqHfNh7K42EpdJ5-"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90DqN3JQD93tGco0xLJOQF_cQLkoKUbtZGsrVvOqKDNBwX_2qPRwSuFS6tQHY5n3YNmGgVVYB9fnovvfv6Oc_wSmrtiMwJ-_vIJ_EvnQbiSjPZPEgk27oj5BAD07lqh5BEvi7MYo4T4qAKsE=s1024"",""caption"":null,""width"":720,""height"":1280},{""id"":""CIABIhBZR2ZaLbVUq72j4_-s7VxH"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90CC_1Ov3Bc6y9J7vyY4CJI0mdfsI7dzQRuNkfOHhoOIfOSNHHP_IPP4qH1zqei91UB1Ce6lfnlspM0vp-y3GWc2uvTI2CWg-NIkSZ9DrmTbaImfBoxMBMPyUU1FzqpBgMBJQW_K-oIQVbAt=s1024"",""caption"":null,""width"":3120,""height"":4160},{""id"":""CIABIhDJiFcF-LV-P-WICNa0AeXy"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90A5SXtbPzExMoPJm_43O0b5qic9Ne9DS_7E77G_InRBGMFLixea0Dwlwhy0WuHBjQZjMlUDcZe4A2ltgZrfh2JGVOb8BGyDaYIvdWNZjgHWce8wVgY-SaVj4DSfF4IABlIA860uZO6X0ucx=s1024"",""caption"":null,""width"":3120,""height"":4160},{""id"":""CIABIhDKoPMdGexNYgFh2cW89SoG"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90DWO4x7nTeEV3MplS5MJYl6CV4F9yuhvcIdyF0ELUKXQ2xZzK4_9s1ZkI6lIhncbSYnfk6sJJQiigN6dX2_sNKqbgPZVmVfznh93MqTV8D9WlZzPmWDwEEHc63gkg-CcrG_aiw722DuRmue=s1024"",""caption"":null,""width"":3024,""height"":4032}]"
ChIJF_T0zSUD2C0RJFytakQa2VM,Pantai Rindu,Ci9DQUlRQUNvZENodHljRjlvT25GdVEwUkJiVVkzUXpKUmRGUkxhR1E0ZERGYWQzYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GdVEwUkJiVVkzUXpKUmRGUkxhR1E0ZERGYWQzYxAB!2m1!1s0x0:0x53d91a446aad5c24!3m1!1s2@1:CAIQACodChtycF9oOnFuQ0RBbUY3QzJRdFRLaGQ4dDFad3c%7C0ctqG_IQRFg%7C?hl=id,chocooo0milkk,113735711080083964017,https://www.google.com/maps/contrib/113735711080083964017?hl=id,2,wkwk kapok si kesini. harga makanannya ga ngotak mahal bgt dan ga worth it dengan tempat yang seperti itu. per orang wajib pesen makan sbg tiket masuk katanya,seminggu lalu,2025-10-09T07:29:41,,,,63,147,1,,,[],"[{""id"":""CIABIhC9DBjJi93-fokIMOySwm8a"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90Azc0q4ZjCDY9yGM3l0JCoRjc198D1R5Fb8UCnd-lpVxwncxBNMqZlSEhzbg-5pRQTxipVzBqk4jMyaql9measlkJ0zqriXt8Nj0xpVE7mBqUbdmy7TZW-q5SBc8T3s-07kKRfs5fhPM9Cc=s1024"",""caption"":null,""width"":1946,""height"":3460},{""id"":""CIABIhAGeYMVCJ41Sv_tZiU90zug"",""url"":""https://lh3.googleusercontent.com/geougc-cs/AB3l90C_gfECLc10wqCLE-b-t5HU6ojWeFXsaRum0rLysO-W1wBsJTFD5CjWB0FCpxMWmWDTuYwGhoLIZkOuRYdjQ-ylxitgpXYzOOCmC4_5d6vJdGzqa0PKvwtVn5290Xt_q7d6hibezRTsrZJW=s1024"",""caption"":null,""width"":2035,""height"":3618}]"
