place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJYQIbq0US2C0RoXbX5gkHWUY,Kahoona Beach,,,22,4.3,,,0857-3335-9123,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtnd7Y5rkWjXq9wk6uXJ95yuzT49eG1bp_wN7FzwTWWX6VUHlt4NbWyXePw5REvyY9O9oKGtVzTTM4CRb5DlKZ-98tXOGz7LRFITrTAtp_TAdRpEcOCu1AiILqk43mJ8T1tT4=s1024,Pantai,Pantai,,,Open All Days,"Beng Sobung, Tobaddung, Kec. Klampis, Kabupaten Bangkalan, Jawa Timur",wisata,https://www.google.com/maps/place/Kahoona+Beach/data=!4m7!3m6!1s0x2dd81245ab1b0261:0x46590709e6d776a1!8m2!3d-6.9132227!4d112.8434518!16s%2Fg%2F11c71c0xdd!19sChIJYQIbq0US2C0RoXbX5gkHWUY?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJxWCJ0M4C2C0RVkIRQqMGJHs,Pantai Goa Petapa,,,319,4.2,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDna74SFRmxQkEkPN_HABNVfF2C0gvK75KWtTvNqgT2_V5j0NcKTJ1W8QaZvuOQBiqukCcsMuJwDC2RqerGl1oatHMVdGdQuQphQEofmoYJ8QPiUgLNqaIYY086yE84mDvCWCJB4uFAhVh=s1024,Pantai,Pantai,,,Open All Days,"Madura Island, East Java, Kejawan, Sukolilo Tim., Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163","motor, wisata, pemandangan, sore, harga, tiket, kebersihan, minuman, foto, sisi",https://www.google.com/maps/place/Pantai+Goa+Petapa/data=!4m7!3m6!1s0x2dd802ced08960c5:0x7b2406a342114256!8m2!3d-7.1576459!4d112.802353!16s%2Fg%2F11c1n6n1m4!19sChIJxWCJ0M4C2C0RVkIRQqMGJHs?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJCb-H_gM_2C0RotQ5H2cQ_9g,Pantai Siring Kemuning,,,511,4,,http://www.pulaumadura.com/,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nru94xx8WfxFI8mcVjAh6aTbLdRZCadkqaL54imWqqBVcRDeklYSTqeWaHXX6Ag8AWBOHohts-hPImgByY1TGJbJDyzqXI6OHKrjinYWrxqTa5Al7aQtjGAgI27lGDDPU5fiqJn=s1024,Pantai,Pantai,,,Open All Days,"Macajah, Kec. Tj. Bumi, Kabupaten Bangkalan, Jawa Timur 69156","wisata, fasilitas, orang, tiket, motor, kebersihan, pemerintah, pemandangan, biaya, penjual",https://www.google.com/maps/place/Pantai+Siring+Kemuning/data=!4m7!3m6!1s0x2dd83f03fe87bf09:0xd8ff10671f39d4a2!8m2!3d-6.8851454!4d113.0550036!16s%2Fg%2F11bysjsbn0!19sChIJCb-H_gM_2C0RotQ5H2cQ_9g?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJF_T0zSUD2C0RJFytakQa2VM,Pantai Rindu,,,1386,3.7,"Name: Dermaga Rindu
Link: https://www.google.com/maps/search/Dermaga+Rindu/@-7.161568099999999,112.77230730000001?authuser=0&hl=id&entry=ttu
Reviews: 1148 reviews

Name: Pantai Gebang
Link: https://www.google.com/maps/search/Pantai+Gebang/@-6.9856497,112.7867654?authuser=0&hl=id&entry=ttu
Reviews: 141 reviews

Name: Wisata Pantai Martajasah
Link: https://www.google.com/maps/search/Wisata+Pantai+Martajasah/@-7.041518399999999,112.7113078?authuser=0&hl=id&entry=ttu
Reviews: 100 reviews

Name: Pantai batu malang
Link: https://www.google.com/maps/search/Pantai+batu+malang/@-7.1583285,112.8057319?authuser=0&hl=id&entry=ttu
Reviews: 69 reviews",,,1,Pantai Rindu (Pemilik),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZXqalqKh7ymeapo-rOgZ4gjotOCHmxQVwxR0pxtY7pbUO0sG2ttDFcSp6kwbHKh1Lp_xKvZYKSYhtwEvik7eTXrVOGtnTW1Td9WVFlZkiEbu7-D8BdWji9tqsh0XfUcwno0pi8A=s1024,Tujuan Wisata,Tujuan Wisata,,,Open All Days,,"foto, menu, cafe, pemandangan, pesan, makanan minuman, tiket, panas, santai, sultan",https://www.google.com/maps/place/Pantai+Rindu/data=!4m7!3m6!1s0x2dd80325cdf4f417:0x53d91a446aad5c24!8m2!3d-7.1598065!4d112.7765961!16s%2Fg%2F11ppyzpvqh!19sChIJF_T0zSUD2C0RJFytakQa2VM?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJuRiSbwAd2C0RDp_Iezqhlmk,Merah Putih Beach,,,1,5,"Name: Pantai Gebang
Link: https://www.google.com/maps/search/Pantai+Gebang/@-6.9856497,112.7867654?authuser=0&hl=id&entry=ttu
Reviews: 141 reviews

Name: Wisata Pasir Putih
Link: https://www.google.com/maps/search/Wisata+Pasir+Putih/@-6.9456104,112.8136153?authuser=0&hl=id&entry=ttu
Reviews: 4 reviews",,,1,Merah Putih Beach (Pemilik),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRlZddgLrBwPsS0XNfMGWfG0nHZQaOjZJktyLF2z8UO0vkuzfkadFGdD5iBGbQ45UfmDs5QhrqTBWsbMYCtRRwAfF47UPZxiU66x_N4jReChs-jWsq3dDYXE6-ze_69sTiP2xyEA=s1024,Tujuan Wisata,Tujuan Wisata,,,Open All Days,"RRR8+4R, Karang Pandan, Sukolilo Tim., Kec. Labang, Kabupaten Bangkalan, Jawa Timur",,https://www.google.com/maps/place/Merah+Putih+Beach/data=!4m7!3m6!1s0x2dd81d006f9218b9:0x6996a13a7bc89f0e!8m2!3d-7.159672!4d112.817098!16s%2Fg%2F11y70x64nc!19sChIJuRiSbwAd2C0RDp_Iezqhlmk?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJsc1fAAQ_2C0RB7AndMs78CQ,Siring Kemuning beach,,,18,4.3,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npW6JLob5mA61HzLXPO-lDhQbN-bYHUU8cHkBoB2_u7Dlv_8zsuk6oSXy_AWAp8uvTaGvpwGefuVj2B5iuBzfTmqJptZewdRDcVzDJp_X84BUVYYq5JQ-txbwlwLh2iV8TdjHI=s1024,Pantai,Pantai,,,Open All Days,"Unnamed Road, Macajah, Tanjung Bumi, Bangkalan Regency, East Java 69156",,https://www.google.com/maps/place/Siring+Kemuning+beach/data=!4m7!3m6!1s0x2dd83f04005fcdb1:0x24f03bcb7427b007!8m2!3d-6.8847871!4d113.0549863!16s%2Fg%2F11c2pg0m3f!19sChIJsc1fAAQ_2C0RB7AndMs78CQ?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJdQ14ptQD2C0RGxfkbM_5gLI,Goa Petapa Beach,,,10,4.5,"Name: Pantai batu malang
Link: https://www.google.com/maps/search/Pantai+batu+malang/@-7.1583285,112.8057319?authuser=0&hl=id&entry=ttu
Reviews: 69 reviews

Name: Sumber Mata Air Petapan
Link: https://www.google.com/maps/search/Sumber+Mata+Air+Petapan/@-7.117254,112.79974399999999?authuser=0&hl=id&entry=ttu
Reviews: 31 reviews

Name: Wisata Alam Goa Aren
Link: https://www.google.com/maps/search/Wisata+Alam+Goa+Aren/@-7.143574999999999,112.83756699999999?authuser=0&hl=id&entry=ttu
Reviews: 11 reviews

Name: PANTAI KAGUM Pasir Putih
Link: https://www.google.com/maps/search/PANTAI+KAGUM+Pasir+Putih/@-7.207771200000001,113.0043254?authuser=0&hl=id&entry=ttu
Reviews: 2 reviews",,,1,Goa Petapa Beach (Pemilik),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqljm_zYH-lqhvCaSWibU5NHEqfsFNCGWMKh4p4E-Nfm-cEajJRS4wpIlGtZkgsQuGPRcYVKjkLMsFKlrP8mVJR-0Drf7qekSrPCOjWoLFGufXJfACy-ZulOevkxJNhuIxMAxQr=s1024,Tujuan Wisata,Tujuan Wisata,,,Open All Days,"RRR2+WWX Pantai Goa Petapa, Madura Island, Kejawan, Sukolilo Tim., Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163",,https://www.google.com/maps/place/Goa+Petapa+Beach/data=!4m7!3m6!1s0x2dd803d4a6780d75:0xb280f9cf6ce4171b!8m2!3d-7.1576459!4d112.802353!16s%2Fg%2F11rxhg1kcs!19sChIJdQ14ptQD2C0RGxfkbM_5gLI?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJj5nxQmwd2C0RxLYt5c62-qA,Pantai Rongkang,"Situs pantai berbatu yang dikelilingi pohon, dengan beberapa area pantai berpasir dan tempat untuk berfoto.",,219,3.5,,http://www.pulaumadura.com/,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nommuCRh5h2AU2UU6W9QwC1Y-ZwpQyKOi0SN6L6DU2rbZzrt52YUJ-hJKZJ8qnlqx4Q7E2CPwBLHXXBm8QdezUTPpHG5TEfapzQWn6V-bGZtNwGWCCeQGjNWRBrTjIwbyQ0W3_d=s1024,Pantai,Pantai,,,Open All Days,"Kejawan, Kwanyar Bar., Kec. Kwanyar, Kabupaten Bangkalan, Jawa Timur 69163","wisata, foto, lebaran, pemandangan, pintu, daerah, nama, orang, kejahatan, pasar",https://www.google.com/maps/place/Pantai+Rongkang/data=!4m7!3m6!1s0x2dd81d6c42f1998f:0xa0fab6cee52db6c4!8m2!3d-7.164438!4d112.841953!16s%2Fg%2F11b824bz4d!19sChIJj5nxQmwd2C0RxLYt5c62-qA?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJF6bSzcgV2C0RIPSOHAUgoyQ,Pantai Tengket,,,376,4.3,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrcYPtBf0QAT3hco8Xn0T2Y_3i0xWFTG3ryoQL5DobUupyRBjskW3h3CdgLQLbdmQVwvnEySLR-hsKn3Kwj83DVj776LtFmsn8Hhtlp9jiR7Qj0LVprXbqQu2NMd2hnBZEXbhlS=s1024,Pantai,Pantai,,,Open All Days,"Jl. Raya Sepulu, Senangguh, Maneron, Kec. Sepulu, Kabupaten Bangkalan, Jawa Timur 69154","pemandangan, wisata, foto, motor, kebersihan, tiket, gazebo, sore, arah, area",https://www.google.com/maps/place/Pantai+Tengket/data=!4m7!3m6!1s0x2dd815c8cdd2a617:0x24a320051c8ef420!8m2!3d-6.8885487!4d112.9473076!16s%2Fg%2F11gj0svkb0!19sChIJF6bSzcgV2C0RIPSOHAUgoyQ?authuser=0&hl=id&rclk=1,beaches in bangkalan
ChIJU-O3uzE_2C0REKDxNJDUNL8,Pantai Pasir Putih Tlangoh,,,1480,4.4,"Name: PANTAI BIRU
Link: https://www.google.com/maps/search/PANTAI+BIRU/@-6.885358999999999,113.079095?authuser=0&hl=id&entry=ttu
Reviews: 600 reviews

Name: Pantai Indah Tanjungbumi
Link: https://www.google.com/maps/search/Pantai+Indah+Tanjungbumi/@-6.894946999999999,113.1168868?authuser=0&hl=id&entry=ttu
Reviews: 15 reviews

Name: Pantai Tengket
Link: https://www.google.com/maps/search/Pantai+Tengket/@-6.8887148,112.94738319999999?authuser=0&hl=id&entry=ttu
Reviews: 7 reviews

Name: Wisata Pasir Putih
Link: https://www.google.com/maps/search/Wisata+Pasir+Putih/@-6.9456104,112.8136153?authuser=0&hl=id&entry=ttu
Reviews: 4 reviews

Name: PANTAI KAGUM Pasir Putih
Link: https://www.google.com/maps/search/PANTAI+KAGUM+Pasir+Putih/@-7.207771200000001,113.0043254?authuser=0&hl=id&entry=ttu
Reviews: 2 reviews",,,,Pantai Pasir Putih Tlangoh (Pemilik),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nryaLWZEL0lsfb9sxnWe13h836_zkweVQ-YT3sNWh_U-mwnj1mF7mXBtdB8T2wX-ba3XRNQO5reMxL70C6a623mEiiUKHEQIXIxScNDQT9eA8a8OCOp2FrGUMEXnMqJpylIUMUH=s1024,Pantai Umum,"Pantai Umum, Tujuan Wisata",Buka 24 jam,,Open All Days,"428X+H4F, Temanah, Tlangoh, Kec. Tj. Bumi, Kabupaten Bangkalan, Jawa Timur 69156","tiket, wisata, gazebo, pemandangan, fasilitas, ATV, rujak, toilet, warung, panjang",https://www.google.com/maps/place/Pantai+Pasir+Putih+Tlangoh/data=!4m7!3m6!1s0x2dd83f31bbb7e353:0xbf34d49034f1a010!8m2!3d-6.8835598!4d113.0477832!16s%2Fg%2F11j4gy8xf_!19sChIJU-O3uzE_2C0REKDxNJDUNL8?authuser=0&hl=id&rclk=1,beaches in bangkalan
